entity,code,year,deaths__sex_all__age_all__variant_estimates,deaths__sex_all__age_all__variant_medium__projected,births__sex_all__age_all__variant_estimates,births__sex_all__age_all__variant_medium__projected
World,OWID_WRL,1950,48486892,,91823940,
World,OWID_WRL,1951,48176160,,92507130,
World,OWID_WRL,1952,47383364,,97371460,
World,OWID_WRL,1953,47239576,,97291460,
World,OWID_WRL,1954,46662428,,100187860,
World,OWID_WRL,1955,46635656,,101747970,
World,OWID_WRL,1956,46479064,,101759016,
World,OWID_WRL,1957,46880776,,106017736,
World,OWID_WRL,1958,46518264,,104644160,
World,OWID_WRL,1959,50724510,,101999840,
World,OWID_WRL,1960,54612440,,102378080,
World,OWID_WRL,1961,49918924,,100950940,
World,OWID_WRL,1962,46061450,,112038710,
World,OWID_WRL,1963,46913210,,119802890,
World,OWID_WRL,1964,46822880,,117292200,
World,OWID_WRL,1965,48213548,,117837010,
World,OWID_WRL,1966,47841524,,117232950,
World,OWID_WRL,1967,47568790,,116920264,
World,OWID_WRL,1968,47629250,,121825890,
World,OWID_WRL,1969,47815950,,122227970,
World,OWID_WRL,1970,48163468,,124135900,
World,OWID_WRL,1971,49384108,,123739680,
World,OWID_WRL,1972,47770224,,123554020,
World,OWID_WRL,1973,47573276,,123563930,
World,OWID_WRL,1974,47478096,,122709410,
World,OWID_WRL,1975,47622990,,121030100,
World,OWID_WRL,1976,47707256,,121322350,
World,OWID_WRL,1977,47166790,,120786520,
World,OWID_WRL,1978,47293144,,122140650,
World,OWID_WRL,1979,46963884,,125000296,
World,OWID_WRL,1980,47349924,,127446984,
World,OWID_WRL,1981,47470790,,129715840,
World,OWID_WRL,1982,47659344,,133206504,
World,OWID_WRL,1983,48206576,,131967710,
World,OWID_WRL,1984,48430624,,134365260,
World,OWID_WRL,1985,48772812,,136373950,
World,OWID_WRL,1986,48643612,,139301170,
World,OWID_WRL,1987,48657012,,141346560,
World,OWID_WRL,1988,49183184,,140985950,
World,OWID_WRL,1989,49178264,,142249020,
World,OWID_WRL,1990,49794344,,143461420,
World,OWID_WRL,1991,50108430,,138306860,
World,OWID_WRL,1992,50281870,,136591250,
World,OWID_WRL,1993,50831804,,135632140,
World,OWID_WRL,1994,51930610,,135142910,
World,OWID_WRL,1995,51406890,,134850050,
World,OWID_WRL,1996,51410956,,134321020,
