v4_0,calendar-years,Time,administrative-geography,Geography,week-number,Week,sex,Sex,age-groups,AgeGroups,registration-or-occurrence,RegistrationOrOccurrence
1172,2026,2026,E12000006,East of England,week-25,Week 25,all,All,all-ages,All ages,registrations,Registrations
580,2026,2026,E12000006,East of England,week-25,Week 25,female,Female,all-ages,All ages,registrations,Registrations
543,2026,2026,E12000009,South West,week-25,Week 25,female,Female,all-ages,All ages,registrations,Registrations
5038,2026,2026,E92000001,England,week-25,Week 25,male,Male,all-ages,All ages,registrations,Registrations
2,2026,2026,E12000009,South West,week-25,Week 25,all,All,0-1,0-1,registrations,Registrations
6,2026,2026,E92000001,England,week-25,Week 25,all,All,1-4,1-4,registrations,Registrations
0,2026,2026,W92000004,Wales,week-25,Week 25,all,All,1-4,1-4,registrations,Registrations
0,2026,2026,E12000003,Yorkshire and The Humber,week-25,Week 25,all,All,1-4,1-4,registrations,Registrations
0,2026,2026,E12000001,North East,week-25,Week 25,all,All,5-9,5-9,registrations,Registrations
0,2026,2026,E12000009,South West,week-25,Week 25,female,Female,5-9,5-9,registrations,Registrations
0,2026,2026,E12000002,North West,week-25,Week 25,male,Male,5-9,5-9,registrations,Registrations
1,2026,2026,E12000004,East Midlands,week-25,Week 25,male,Male,5-9,5-9,registrations,Registrations
0,2026,2026,E12000009,South West,week-25,Week 25,male,Male,5-9,5-9,registrations,Registrations
0,2026,2026,E12000003,Yorkshire and The Humber,week-25,Week 25,all,All,10-14,10-14,registrations,Registrations
0,2026,2026,E12000009,South West,week-25,Week 25,all,All,10-14,10-14,registrations,Registrations
0,2026,2026,E12000004,East Midlands,week-25,Week 25,male,Male,10-14,10-14,registrations,Registrations
0,2026,2026,E12000005,West Midlands,week-25,Week 25,male,Male,10-14,10-14,registrations,Registrations
0,2026,2026,E12000006,East of England,week-25,Week 25,male,Male,10-14,10-14,registrations,Registrations
14,2026,2026,E92000001,England,week-25,Week 25,all,All,15-19,15-19,registrations,Registrations
0,2026,2026,E12000005,West Midlands,week-25,Week 25,female,Female,15-19,15-19,registrations,Registrations
1,2026,2026,E12000004,East Midlands,week-25,Week 25,male,Male,15-19,15-19,registrations,Registrations
0,2026,2026,E12000007,London,week-25,Week 25,male,Male,15-19,15-19,registrations,Registrations
5,2026,2026,E12000005,West Midlands,week-25,Week 25,all,All,20-24,20-24,registrations,Registrations
0,2026,2026,E12000006,East of England,week-25,Week 25,female,Female,20-24,20-24,registrations,Registrations
1,2026,2026,W92000004,Wales,week-25,Week 25,male,Male,20-24,20-24,registrations,Registrations
3,2026,2026,E12000007,London,week-25,Week 25,male,Male,20-24,20-24,registrations,Registrations
20,2026,2026,E92000001,England,week-25,Week 25,male,Male,25-29,25-29,registrations,Registrations
38,2026,2026,E92000001,England,week-25,Week 25,all,All,30-34,30-34,registrations,Registrations
3,2026,2026,E12000005,West Midlands,week-25,Week 25,all,All,30-34,30-34,registrations,Registrations
21,2026,2026,E92000001,England,week-25,Week 25,female,Female,35-39,35-39,registrations,Registrations
6,2026,2026,E12000008,South East,week-25,Week 25,female,Female,35-39,35-39,registrations,Registrations
18,2026,2026,E12000007,London,week-25,Week 25,all,All,40-44,40-44,registrations,Registrations
7,2026,2026,E12000009,South West,week-25,Week 25,all,All,40-44,40-44,registrations,Registrations
8,2026,2026,E12000004,East Midlands,week-25,Week 25,male,Male,40-44,40-44,registrations,Registrations
6,2026,2026,E12000006,East of England,week-25,Week 25,male,Male,40-44,40-44,registrations,Registrations
21,2026,2026,E12000002,North West,week-25,Week 25,all,All,45-49,45-49,registrations,Registrations
